order_id (unique),product_id,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_type_2,,,,
51,P0219,S0142,03-Jan-17,0,0,6,7.25,PR14,PR03,,,,
52,P0543,S0043,03-Jan-17,0,0,21,2.5,PR14,PR03,,,,
53,P0697,S0065,03-Jan-17,0,0,16,17.75,PR14,PR03,,,,
54,P0695,S0082,03-Jan-17,0,0,11,4.85,PR14,PR03,,,,
55,P0658,S0002,03-Jan-17,0,0,3,24.5,PR14,PR03,,,,
56,P0116,S0085,03-Jan-17,0,0,11,0.85,PR14,PR03,,,,
57,P0336,S0078,03-Jan-17,0,0,5,21.5,PR14,PR03,,,,
58,P0614,S0124,03-Jan-17,0,0,5,15.9,PR14,PR03,,,,
59,P0450,S0132,03-Jan-17,0,0,3,11.9,PR14,PR03,,,,
60,P0453,S0077,03-Jan-17,0,0,5,5.25,PR14,PR03,,,,
61,P0390,S0116,03-Jan-17,0,0,2,9.85,PR14,PR03,,,,
62,P0438,S0128,03-Jan-17,5 sales,1.39,0,NA,PR14,PR03,,,,
63,P0642,S0022,03-Jan-17,2,4.17,7,2.25,PR14,PR03,,,,
64,P0551,S0086,03-Jan-17,0,0,17,1.85,PR14,PR03,,,,
65,P0520,S0097,03-Jan-17,2,5.46,39,2.95,PR14,PR03,,,,
66,P0185,S0018,03-Jan-17,0,0,1,0.75,PR14,PR03,,,,
67,P0213,S0038,03-Jan-17,0,0,89,18.9,PR14,PR03,,,,
68,P0654,S0040,03-Jan-17,0,0,5,9.75,PR14,PR03,,,,
69,P0237,S0023,03-Jan-17,0,0,4,59.9,PR05,PR03,,,,
70,P0453,S0027,03-Jan-17,0,0,15,5.25,PR14,PR03,,,,
71,P0459,S0094,03-Jan-17,1,2.73,48,2.95,PR14,PR03,,,,
72,P0260,S0095,03-Jan-17,1,16.2,18,17.5,PR14,PR03,,,,
73,P0390,S0139,03-Jan-17,0,0,4,9.85,PR14,PR03,,,,
74,P0438,S0026,03-Jan-17,42,9.72,387,0.25,PR14,PR03,,,,
75,P0171,S0020,03-Jan-17,1,8.35,6,9.85,PR14,PR03,,,,
76,P0691,S0144,03-Jan-17,0,0,3,3,PR14,PR03,,,,
77,P0201,S0016,03-Jan-17,0,0,4,14.9,PR14,PR03,,,,
78,P0268,S0105,03-Jan-17,0,0,13,1,PR14,PR03,,,,
79,P0103,S0022,03-Jan-17,1,2.45,7,2.65,PR14,PR03,,,,
80,P0642,S0082,03-Jan-17,2,4.17,3,2.25,PR14,PR03,,,,
81,P0652,S0083,03-Jan-17,0,0,9,3.75,PR14,PR03,,,,
82,P0249,S0093,03-Jan-17,0,0,9,1.9,PR14,PR03,,,,
83,P0184,S0023,03-Jan-17,0,0,11,47.5,PR14,PR03,,,,
84,P0092,S0050,03-Jan-17,0,0,3,1.55,PR14,PR03,,,,
85,P0092,S0088,03-Jan-17,0,0,8,1.55,PR14,PR03,,,,
86,P0506,S0107,03-Jan-17,0,0,12,5.95,PR05,PR03,,,,
87,P0372,S0002,03-Jan-17,0,0,122,2.9,PR14,PR03,,,,
88,P0204,S0062,04-Jan-17,0,0,62,5.9,PR14,PR03,,,,
89,P0569,S0085,04-Jan-17,1,2.41,163,2.6,PR14,PR03,,,,
90,P0408,S0085,04-Jan-17,0,0,6,29.9,PR14,PR03,,,,
91,P0712,S0023,04-Jan-17,0,0,47,19.9,PR14,PR03,,,,
92,P0651,S0049,04-Jan-17,0,0,8,15.5,PR14,PR03,,,,
93,P0506,S0123,04-Jan-17,0,0,11,5.95,PR05,PR03,,,,
94,P0690,S0040,04-Jan-17,0,0,3,13.9,PR14,PR03,,,,
95,P0131,S0123,04-Jan-17,1,2.08,21,2.25,PR14,PR03,,,,
96,P0297,S0066,04-Jan-17,0,0,4,14.95,PR14,PR03,,,,
97,P0691,S0094,04-Jan-17,0,0,2,3,PR14,PR03,,,,
98,P0459,S0113,04-Jan-17,0,0,41,2.95,PR14,PR03,,,,
99,P0260,S0085,04-Jan-17,0,0,9,17.5,PR14,PR03,,,,
100,P0103,S0013,04-Jan-17,3,7.36,28,2.65,PR14,PR03,,,,
101,P0663,S0031,04-Jan-17,0,0,44,3.25,PR14,PR03,,,,
102,P0345,S0093,04-Jan-17,0,0,3,3.15,PR06,PR03,,,,
103,P0520,S0066,04-Jan-17,0,0,18,2.95,PR14,PR03,,,,
104,P0499,S0019,04-Jan-17,1,0.69,41,0.75,PR14,PR03,,,,
105,P0297,S0010,04-Jan-17,0,0,5,14.95,PR14,PR03,,,,
106,P0296,S0010,04-Jan-17,0,0,6,0.75,PR14,PR03,,,,
107,P0154,S0013,04-Jan-17,0,0,100,1.89,PR14,PR03,,,,
108,P0473,S0078,04-Jan-17,0,0,2,29.9,PR14,PR03,,,,
109,P0623,S0090,04-Jan-17,0,0,55,9.9,PR14,PR03,,,,
110,P0017,S0023,04-Jan-17,1,1.38,26,1.49,PR14,PR03,,,,
111,P0543,S0087,04-Jan-17,0,0,20,2.5,PR14,PR03,,,,
112,P0453,S0125,04-Jan-17,0,0,28,5.25,PR14,PR03,,,,
113,P0590,S0054,04-Jan-17,2,0.93,7,0.5,PR14,PR03,,,,
114,P0413,S0084,04-Jan-17,0,0,6.1,1.99,PR03,PR03,,,,
115,P0185,S0023,04-Jan-17,0,0,6,0.75,PR14,PR03,,,,
116,P0436,S0040,04-Jan-17,3,8.33,94,3,PR14,PR03,,,,
117,P0437,S0062,04-Jan-17,0,0,3,10.9,PR14,PR03,,,,
118,P0160,S0027,04-Jan-17,0,0,11,2.5,PR14,PR03,,,,
119,P0060,S0085,04-Jan-17,0,0,9,15.9,PR14,PR03,,,,
120,P0356,S0058,04-Jan-17,0,0,5,2.5,PR14,PR03,,,,
121,P0311,S0116,04-Jan-17,1,1,2,1,PR14,PR03,,,,
122,P0704,S0132,04-Jan-17,0,0,14,2.1,PR14,PR03,,,,
123,P0261,S0091,04-Jan-17,0,0,23,4.75,PR14,PR03,,,,
124,P0286,S0084,04-Jan-17,3,2.78,34,1,PR14,PR03,,,,
125,P0280,S0085,04-Jan-17,1,5.08,11,5.99,PR14,PR03,,,,
126,P0103,S0082,04-Jan-17,4,9.81,54,2.65,PR14,PR03,,,,
127,P0732,S0090,04-Jan-17,0,0,6,7.25,PR14,PR03,,,,
128,P0584,S0113,04-Jan-17,1,9.7,24,11.45,PR14,PR03,,,,
129,P0454,S0123,04-Jan-17,1,1.94,15,2.1,PR14,PR03,,,,
130,P0219,S0083,04-Jan-17,0,0,3,7.25,PR14,PR03,,,,
131,P0689,S0125,05-Jan-17,1,24.49,6,28.9,PR14,PR03,,,,
132,P0051,S0123,05-Jan-17,1,0.65,10,0.7,PR14,PR03,,,,
133,P0099,S0142,05-Jan-17,0,0,12,10.9,PR14,PR03,,,,
134,P0312,S0051,05-Jan-17,0,0,8,12.9,PR14,PR03,,,,
135,P0459,S0110,05-Jan-17,2,5.46,48,2.95,PR14,PR03,,,,
136,P0162,S0038,05-Jan-17,0,0,8,3.9,PR14,PR03,,,,
137,P0499,S0083,05-Jan-17,0,0,19,0.75,PR14,PR03,,,,
138,P0390,S0012,05-Jan-17,0,0,5,9.85,PR14,PR03,,,,
139,P0372,S0086,05-Jan-17,0,0,1,2.9,PR14,PR03,,,,
140,P0275,S0050,05-Jan-17,0,0,44,2.15,PR14,PR03,,,,
141,P0459,S0123,05-Jan-17,0,0,16,2.95,PR14,PR03,,,,
142,P0514,S0135,05-Jan-17,0,0,2,8.9,PR14,PR03,,,,
143,P0316,S0020,05-Jan-17,0,0,0.004,59.9,PR14,PR03,,,,
144,P0311,S0091,05-Jan-17,0,0,3,1,PR14,PR03,,,,
145,P0694,S0010,05-Jan-17,0,0,6,5.99,PR14,PR03,,,,
146,P0664,S0125,05-Jan-17,1,1.16,20,1.25,PR14,PR03,,,,
147,P0227,S0058,05-Jan-17,0,0,2,8,PR14,PR03,,,,
148,P0705,S0142,05-Jan-17,0,0,2,11.65,PR14,PR03,,,,
149,P0642,S0087,05-Jan-17,1,2.08,13,2.25,PR14,PR03,,,,
150,P0171,S0084,05-Jan-17,0,0,4,9.85,PR14,PR03,,,,
151,P0506,S0055,05-Jan-17,0,0,18,5.95,PR14,PR03,,,,
152,P0340,S0055,05-Jan-17,0,0,2,29.99,PR14,PR03,,,,
153,P0348,S0107,05-Jan-17,0,0,10,2.1,PR14,PR03,,,,
154,P0148,S0121,05-Jan-17,1 sales,5.46,0,NA,PR14,PR03,,,,
155,P0458,S0062,05-Jan-17,5,18.01,34,4.25,PR14,PR03,,,,
156,P0420,S0038,05-Jan-17,0,0,79,0.6,PR14,PR03,,,,
157,P0054,S0103,05-Jan-17,0,0,13,3.95,PR14,PR03,,,,
158,P0699,S0040,05-Jan-17,0,0,1,9,PR14,PR03,,,,
159,P0364,S0038,05-Jan-17,10,9.26,162,1,PR14,PR03,,,,
160,P0148,S0091,05-Jan-17,0,0,6,5.75,PR14,PR03,,,,
161,P0263,S0031,05-Jan-17,0,0,10,16.95,PR14,PR03,,,,
162,P0695,S0031,05-Jan-17,0,0,17,4.85,PR14,PR03,,,,
163,P0718,S0068,05-Jan-17,0,0,12,13,PR14,PR03,,,,
164,P0490,S0031,05-Jan-17,0,0,5,52.9,PR14,PR03,,,,
165,P0311,S0074,05-Jan-17,1,1,2,1,PR14,PR03,,,,
166,P0272,S0097,05-Jan-17,1,5.79,4,6.25,PR14,PR03,,,,
167,P0705,S0063,05-Jan-17,0,0,5,11.65,PR14,PR03,,,,
168,P0705,S0011,05-Jan-17,0,0,12,11.65,PR14,PR03,,,,
169,P0614,S0062,05-Jan-17,0,0,8,15.9,PR14,PR03,,,,
170,P0490,S0096,05-Jan-17,0,0,5,52.9,PR14,PR03,,,,
171,P0635,S0108,05-Jan-17,0,0,10,4.75,PR14,PR03,,,,
172,P0718,S0052,05-Jan-17,0,0,54,13,PR14,PR03,,,,
173,P0312,S0001,05-Jan-17,0,0,16,12.9,PR14,PR03,,,,
174,P0211,S0104,05-Jan-17,0,0,8,8.95,PR14,PR03,,,,
175,P0437,S0070,05-Jan-17,0,0,1,10.9,PR14,PR03,,,,
176,P0602,S0078,05-Jan-17,0,0,9,9.9,PR14,PR03,,,,
177,P0372,S0107,05-Jan-17,1,2.46,43,2.9,PR14,PR03,,,,
178,P0527,S0097,06-Jan-17,1,1.81,18,1.95,PR14,PR03,,,,
179,P0438,S0140,06-Jan-17,4,0.93,33,0.25,PR14,PR03,,,,
180,P0333,S0044,06-Jan-17,0,0,10,1.85,PR14,PR03,,,,
181,P0514,S0008,06-Jan-17,0,0,2,8.9,PR14,PR03,,,,
182,P0657,S0065,06-Jan-17,0,0,14,7.75,PR14,PR03,,,,
183,P0534,S0142,06-Jan-17,1,1.85,24,2,PR14,PR03,,,,
184,P0296,S0043,06-Jan-17,0,0,13,0.75,PR14,PR03,,,,
185,P0340,S0001,06-Jan-17,0,0,2,29.99,PR14,PR03,,,,
186,P0283,S0015,06-Jan-17,0,0,3,21.5,PR14,PR03,,,,
187,P0499,S0009,06-Jan-17,0,0,19,0.75,PR14,PR03,,,,
188,P0325,S0021,06-Jan-17,0,0,2,8.45,PR14,PR03,,,,
189,P0017,S0078,06-Jan-17,0,0,11,1.49,PR06,PR03,,,,
190,P0590,S0122,06-Jan-17,0,0,32,0.5,PR14,PR03,,,,
191,P0370,S0051,06-Jan-17,0,0,23,4.75,PR14,PR03,,,,
192,P0510,S0097,06-Jan-17,0,0,16,19.75,PR14,PR03,,,,
193,P0116,S0117,06-Jan-17,1,0.79,3,0.85,PR14,PR03,,,,
194,P0635,S0012,06-Jan-17,0,0,6,4.75,PR14,PR03,,,,
195,P0470,S0144,06-Jan-17,0,0,6,17.9,PR14,PR03,,,,
196,P0613,S0132,06-Jan-17,0,0,15,6.45,PR14,PR03,,,,
197,P0129,S0130,06-Jan-17,0,0,6,24.95,PR14,PR03,,,,
198,P0490,S0084,06-Jan-17,0,0,4,52.9,PR14,PR03,,,,
199,P0131,S0121,06-Jan-17,2 sales,4.17,0,NA,PR14,PR03,,,,
200,P0260,S0142,06-Jan-17,0,0,8,17.5,PR14,PR03,,,,
201,P0175,S0026,06-Jan-17,2,9.32,8,5.5,PR14,PR03,,,,
202,P0261,S0117,06-Jan-17,0,0,20,4.75,PR14,PR03,,,,
203,P0514,S0060,06-Jan-17,1,8.9,0,8.9,PR14,PR03,,,,
204,P0647,S0065,06-Jan-17,1,12.92,73,13.95,PR14,PR03,,,,
205,P0340,S0094,06-Jan-17,0,0,2,29.99,PR14,PR03,,,,
206,P0417,S0132,06-Jan-17,0,0,4,6.9,PR14,PR03,,,,
207,P0681,S0144,06-Jan-17,0,0,1,9.9,PR14,PR03,,,,
208,P0311,S0088,06-Jan-17,0,0,1,1,PR14,PR03,,,,
209,P0051,S0051,06-Jan-17,1,0.65,0,0.7,PR14,PR03,,,,
210,P0336,S0066,06-Jan-17,0,0,6,20.9,PR14,PR03,,,,
211,P0321,S0070,06-Jan-17,0,0,2,9.9,PR14,PR03,,,,
212,P0109,S0144,06-Jan-17,0,0,5,8.95,PR14,PR03,,,,
213,P0602,S0078,06-Jan-17,0,0,9,9.9,PR14,PR03,,,,
214,P0260,S0065,06-Jan-17,0,0,13,17.5,PR14,PR03,,,,
215,P0035,S0094,06-Jan-17,0,0,28,2.45,PR14,PR03,,,,
216,P0483,S0024,06-Jan-17,0,0,2,10,PR14,PR03,,,,
217,P0574,S0085,06-Jan-17,3,4.58,77,1.65,PR14,PR03,,,,
218,P0144,S0123,06-Jan-17,0,0,3,4.95,PR14,PR03,,,,
219,P0490,S0132,06-Jan-17,0,0,1,52.9,PR14,PR03,,,,
220,P0591,S0050,06-Jan-17,0,0,6,7.45,PR14,PR03,,,,
221,P0642,S0065,06-Jan-17,2,4.17,15,2.25,PR14,PR03,,,,
222,P0260,S0033,06-Jan-17,0,0,6,17.5,PR14,PR03,,,,
223,P0665,S0103,07-Jan-17,0,0,5,10.75,PR14,PR03,,,,
224,P0690,S0056,07-Jan-17,0,0,40,13.9,PR14,PR03,,,,
225,P0067,S0087,07-Jan-17,0,0,6,15.9,PR10,PR03,,,,
226,P0333,S0074,07-Jan-17,2,3.43,20,1.85,PR14,PR03,,,,
227,P0427,S0063,07-Jan-17,0,0,8,2.45,PR14,PR03,,,,
228,P0372,S0120,07-Jan-17,1,2.46,12,2.9,PR14,PR03,,,,
229,P0083,S0094,07-Jan-17,0,0,13,6.9,PR14,PR03,,,,
230,P0377,S0102,07-Jan-17,0,0,7,9,PR14,PR03,,,,
231,P0536,S0113,07-Jan-17,0,0,10,2.95,PR14,PR03,,,,
232,P0261,S0024,07-Jan-17,4,17.59,31,4.75,PR14,PR03,,,,
233,P0611,S0126,07-Jan-17,1,12,1,12,PR14,PR03,,,,
234,P0408,S0002,07-Jan-17,0,0,9,29.9,PR14,PR03,,,,
235,P0660,S0144,07-Jan-17,0,0,3,4.95,PR14,PR03,,,,
236,P0602,S0060,07-Jan-17,0,0,5,9.9,PR14,PR03,,,,
237,P0165,S0126,07-Jan-17,0,0,12,1.4,PR14,PR03,,,,
238,P0640,S0117,07-Jan-17,0,0,3,24.95,PR05,PR03,,,,
239,P0267,S0094,07-Jan-17,0,0,17,4,PR14,PR03,,,,
240,P0277,S0138,07-Jan-17,0,0,25,3.45,PR14,PR03,,,,
241,P0287,S0105,07-Jan-17,0,0,11,7.5,PR14,PR03,,,,
242,P0229,S0026,07-Jan-17,0,0,7,6.85,PR14,PR03,,,,
243,P0204,S0043,07-Jan-17,0,0,1,5.9,PR14,PR03,,,,
244,P0134,S0082,07-Jan-17,0,0,1,5.9,PR14,PR03,,,,
245,P0109,S0050,07-Jan-17,0,0,10,8.95,PR14,PR03,,,,
246,P0229,S0085,07-Jan-17,0,0,7,6.85,PR14,PR03,,,,
247,P0400,S0027,07-Jan-17,0,0,3,7.5,PR14,PR03,,,,
248,P0412,S0122,07-Jan-17,0,0,7,3.95,PR14,PR03,,,,
249,P0412,S0082,07-Jan-17,0,0,6,6.5,PR14,PR03,,,,
250,P0280,S0004,07-Jan-17,0,0,7,5.99,PR05,PR03,,,,
251,P0490,S0002,07-Jan-17,0,0,2,52.9,PR14,PR03,,,,
252,P0658,S0083,07-Jan-17,0,0,4,24.5,PR14,PR03,,,,
253,P0747,S0108,07-Jan-17,0,0,4,11.95,PR14,PR03,,,,
254,P0297,S0073,07-Jan-17,0,0,5,14.95,PR14,PR03,,,,
255,P0103,S0139,07-Jan-17,2,4.91,82,2.65,PR14,PR03,,,,
256,P0402,S0110,07-Jan-17,0,0,27,7.75,PR14,PR03,,,,
257,P0481,S0113,07-Jan-17,0,0,3,4.9,PR14,PR03,,,,
258,P0226,S0062,07-Jan-17,0,0,2,1.5,PR14,PR03,,,,
259,P0370,S0043,07-Jan-17,0,0,18,4.75,PR14,PR03,,,,
260,P0147,S0045,07-Jan-17,0,0,4,3.99,PR14,PR03,,,,
261,P0483,S0078,07-Jan-17,0,0,3,10,PR14,PR03,,,,
262,P0356,S0080,07-Jan-17,0,0,14,2.5,PR14,PR03,,,,
263,P0500,S0043,07-Jan-17,1,5.51,34,5.95,PR14,PR03,,,,
264,P0283,S0049,07-Jan-17,0,0,18,21.5,PR14,PR03,,,,
265,P0666,S0031,07-Jan-17,0,0,15,10.9,PR14,PR03,,,,
266,P0150,S0108,07-Jan-17,0,0,6,12.99,PR14,PR03,,,,
267,P0660,S0137,07-Jan-17,0,0,5,4.95,PR14,PR03,,,,
268,P0129,S0135,08-Jan-17,0,0,5,24.95,PR14,PR03,,,,
269,P0732,S0132,08-Jan-17,0,0,9,7.25,PR14,PR03,,,,
270,P0718,S0013,08-Jan-17,0,0,5,13,PR14,PR03,,,,
271,P0258,S0026,08-Jan-17,0,0,11,6.5,PR14,PR03,,,,
272,P0177,S0023,08-Jan-17,0,0,8,10.9,PR14,PR03,,,,
273,P0131,S0074,08-Jan-17,0,0,22,2.25,PR14,PR03,,,,
274,P0666,S0097,08-Jan-17,0,0,23,10.9,PR14,PR03,,,,
275,P0321,S0065,08-Jan-17,0,0,6,9.9,PR14,PR03,,,,
276,P0083,S0070,08-Jan-17,0,0,4,6.9,PR14,PR03,,,,
277,P0506,S0020,08-Jan-17,0,0,9,5.95,PR14,PR03,,,,
278,P0454,S0115,08-Jan-17,0,0,24,2.1,PR10,PR03,,,,
279,P0220,S0094,08-Jan-17,0,0,24,1.75,PR14,PR03,,,,
280,P0151,S0038,08-Jan-17,0,0,8,6.9,PR14,PR03,,,,
281,P0160,S0125,08-Jan-17,0,0,10,2.5,PR14,PR03,,,,
282,P0172,S0094,08-Jan-17,0,0,6,3.5,PR14,PR03,,,,
283,P0046,S0094,08-Jan-17,0,0,18,34.5,PR14,PR03,,,,
284,P0543,S0138,08-Jan-17,0,0,32,2.5,PR14,PR03,,,,
285,P0204,S0104,08-Jan-17,0,0,17,5.9,PR14,PR03,,,,
286,P0389,S0051,08-Jan-17,0,0,5,8.65,PR14,PR03,,,,
287,P0177,S0028,08-Jan-17,2 sales,3.39,0,NA,PR14,PR03,,,,
288,P0212,S0102,08-Jan-17,0,0,21,9.95,PR05,PR03,,,,
289,P0332,S0065,08-Jan-17,0,0,5,34.95,PR03,PR03,,,,
290,P0735,S0031,08-Jan-17,0,0,7,8.5,PR14,PR03,,,,
291,P0327,S0105,08-Jan-17,0,0,5,2.75,PR14,PR03,,,,
292,P0296,S0138,08-Jan-17,0,0,2,0.75,PR14,PR03,,,,
293,P0116,S0049,08-Jan-17,0,0,16,0.85,PR14,PR03,,,,
294,P0425,S0058,08-Jan-17,0,0,12,4.5,PR14,PR03,,,,
295,P0408,S0094,08-Jan-17,0,0,8,29.9,PR14,PR03,,,,
296,P0690,S0052,08-Jan-17,0,0,16,13.9,PR14,PR03,,,,
297,P0705,S0084,08-Jan-17,1,9.87,6,11.65,PR14,PR03,,,,
298,P0438,S0099,08-Jan-17,0,0,5,0.25,PR14,PR03,,,,
299,P0356,S0091,08-Jan-17,0,0,35,2.5,PR14,PR03,,,,
300,P0336,S0026,08-Jan-17,0,0,4,20.9,PR14,PR03,,,,
301,P0436,S0117,08-Jan-17,0,0,20,3,PR14,PR03,,,,
302,P0639,S0104,08-Jan-17,1,5.05,9,5.45,PR14,PR03,,,,
303,P0296,S0001,08-Jan-17,1,0.69,23,0.75,PR14,PR03,,,,
304,P0635,S0087,08-Jan-17,0,0,4,4.75,PR14,PR03,,,,
305,P0470,S0122,08-Jan-17,0,0,5,17.9,PR14,PR03,,,,
306,P0574,S0026,08-Jan-17,6,9.17,10,1.65,PR14,PR03,,,,
307,P0067,S0038,08-Jan-17,0,0,7,13.9,PR03,PR03,,,,
308,P0165,S0096,08-Jan-17,0,0,5,1.4,PR14,PR03,,,,
309,P0705,S0002,08-Jan-17,0,0,22,11.65,PR14,PR03,,,,
310,P0490,S0108,08-Jan-17,0,0,20,52.9,PR14,PR03,,,,
311,P0297,S0045,08-Jan-17,0,0,6,14.95,PR14,PR03,,,,
312,P0205,S0013,08-Jan-17,0,0,10,13.9,PR14,PR03,,,,
313,P0201,S0056,08-Jan-17,0,0,9,14.9,PR14,PR03,,,,
314,P0446,S0031,09-Jan-17,0,0,13,5.95,PR14,PR03,,,,
315,P0490,S0049,09-Jan-17,0,0,3,52.9,PR14,PR03,,,,
316,P0590,S0016,09-Jan-17,7,3.24,41,0.5,PR14,PR03,,,,
317,P0652,S0060,09-Jan-17,0,0,20,3.75,PR14,PR03,,,,
318,P0689,S0086,09-Jan-17,0,0,16,28.9,PR14,PR03,,,,
319,P0018,S0073,09-Jan-17,0,0,18,1.95,PR14,PR03,,,,
320,P0046,S0056,09-Jan-17,0,0,6,34.5,PR14,PR03,,,,
321,P0183,S0050,09-Jan-17,0,0,4,5.95,PR14,PR03,,,,
322,P0144,S0051,09-Jan-17,0,0,3,4.95,PR14,PR03,,,,
323,P0584,S0087,09-Jan-17,0,0,3,9.95,PR17,PR03,,,,
324,P0114,S0068,09-Jan-17,0,0,19,0.45,PR14,PR03,,,,
325,P0129,S0016,09-Jan-17,0,0,14,24.95,PR14,PR03,,,,
326,P0054,S0056,09-Jan-17,0,0,10,3.95,PR14,PR03,,,,
327,P0051,S0077,09-Jan-17,0,0,40,0.7,PR14,PR03,,,,
328,P0394,S0040,09-Jan-17,0,0,4,1,PR14,PR03,,,,
329,P0390,S0117,09-Jan-17,0,0,5,9.85,PR14,PR03,,,,
330,P0726,S0004,09-Jan-17,0,0,6,1,PR14,PR03,,,,
331,P0658,S0067,09-Jan-17,1,20.76,2,24.5,PR14,PR03,,,,
332,P0402,S0035,09-Jan-17,0,0,3,7.75,PR14,PR03,,,,
333,P0454,S0104,09-Jan-17,0,0,11,2.1,PR10,PR03,,,,
334,P0185,S0108,09-Jan-17,0,0,2,0.75,PR14,PR03,,,,
335,P0551,S0033,09-Jan-17,0,0,2,1.85,PR14,PR03,,,,
336,P0103,S0143,09-Jan-17,2,4.91,7,2.65,PR14,PR03,,,,
337,P0718,S0058,09-Jan-17,2,24.07,44,13,PR14,PR03,,,,
338,P0712,S0049,09-Jan-17,0,0,9,21.5,PR14,PR03,,,,
339,P0427,S0033,09-Jan-17,1,2.27,12,2.45,PR14,PR03,,,,
340,P0147,S0051,09-Jan-17,0,0,10,3.99,PR14,PR03,,,,
341,P0511,S0065,09-Jan-17,1,26.48,2,31.25,PR14,PR03,,,,
342,P0277,S0116,09-Jan-17,0,0,12,3.45,PR14,PR03,,,,
343,P0427,S0062,09-Jan-17,0,0,56,2.45,PR14,PR03,,,,
344,P0348,S0003,09-Jan-17,1,1.94,46,2.1,PR14,PR03,,,,
345,P0260,S0065,09-Jan-17,0,0,12,17.5,PR14,PR03,,,,
